"","MY","month","fleet","sex","part","ageerr","Lbin_lo","Lbin_hi","N_adj_year","0","1","2","3","4","5","6","7","8"
"1",1999,10,2,0,0,5,-1,-1,2.96,0,0,0.557942623152525,0.201763589819182,0.0579886161556575,0.153550176139931,0.0287549947327049,0,0
"2",2001,10,2,0,0,5,-1,-1,81.28,0,0.0336272959347168,0.0923493745395863,0.411423182499339,0.307493861460557,0.0914166414586667,0.0509719411090887,0.0106697228085834,0.00204798018946188
"3",2002,10,2,0,0,5,-1,-1,110.32,0,0.00774197994821729,0.035349215068538,0.145156714330566,0.365392104135229,0.232520401638986,0.118001469747641,0.0631872808769701,0.0326508342538512
"4",2003,10,2,0,0,5,-1,-1,92.32,0,0.0202970757308127,0.170021037249177,0.160896873442579,0.111384509426786,0.188088823238613,0.156620793775879,0.0858836343286827,0.106807252807471
"5",2004,10,2,0,0,5,-1,-1,66.56,0,0.370783824259011,0.134539073836342,0.13252770558423,0.0801178939638569,0.0967916558817166,0.0974511723256613,0.0385934943141408,0.049195179835041
"6",2005,10,2,0,0,5,-1,-1,40.84,0,0.0200373463569484,0.509718225248188,0.150096803149025,0.0728550580574071,0.0465516251896755,0.0377968923416672,0.0432449081345603,0.119699141522529
"7",2006,10,2,0,0,5,-1,-1,26.92,0,0,0.0349529717685682,0.669603218542614,0.178924912595917,0.066269187203877,0.0228348551503786,0.010686357809272,0.0167284969293731
"8",2007,10,2,0,0,5,-1,-1,89.4,0,0,0.0348802831407664,0.433860135789733,0.41780629134921,0.0870183731734046,0.0174985225415626,0.00477237602950696,0.00416401797581645
"9",2008,10,2,0,0,5,-1,-1,94,0,0,0.00312800995716063,0.142013910526068,0.496808656884416,0.295465811692097,0.0472414264662295,0.0104128251076088,0.0049293593664201
"10",2009,10,2,0,0,5,-1,-1,93.24,0,0,0.00706084966080878,0.0452931384554186,0.308375800255868,0.379603041176028,0.209294038040883,0.0426831187343453,0.00769001367664856
"11",2010,10,2,0,0,5,-1,-1,33.76,0,0,0.00440381594036516,0.0317769778454145,0.203142946247149,0.382667655711221,0.252581327783485,0.104810526200097,0.0206167502722687
"12",2011,10,2,0,0,5,-1,-1,42.88,0,0.00302612268555451,0.0300782200393041,0.0489925718602829,0.120887489048627,0.303629656407407,0.292121022854235,0.165019529915894,0.0362453871886953
"13",2012,10,2,0,0,5,-1,-1,118.24,0,0.00102969646857303,0.368382912189433,0.210661435661549,0.0679721849539001,0.043742901048666,0.073764539396497,0.0951383366512461,0.139307993630135
"14",2013,10,2,0,0,5,-1,-1,138.92,0,0,0.0319016983639799,0.585661090214109,0.186247525324681,0.0469768482613238,0.0383970469254548,0.0504698475980894,0.0603459433123625
"15",2014,10,2,0,0,5,-1,-1,49.68,0,0,0,0.0470674684522495,0.661293007046267,0.175672250244888,0.0528090810345601,0.0296317616986615,0.0335264315233747
