"","Yr","Seas","Fleet","catch","catch_se"
"1",1981,1,3,0,0.05
"2",1981,2,3,0,0.05
"3",1982,1,3,0,0.05
"4",1982,2,3,0,0.05
"5",1983,1,3,0,0.05
"6",1983,2,3,0,0.05
"7",1984,1,3,0,0.05
"8",1984,2,3,0,0.05
"9",1985,1,3,0,0.05
"10",1985,2,3,0,0.05
"11",1986,1,3,0,0.05
"12",1986,2,3,0,0.05
"13",1987,1,3,0,0.05
"14",1987,2,3,0,0.05
"15",1988,1,3,0,0.05
"16",1988,2,3,0,0.05
"17",1989,1,3,0,0.05
"18",1989,2,3,0,0.05
"19",1990,1,3,0,0.05
"20",1990,2,3,0,0.05
"21",1991,1,3,0,0.05
"22",1991,2,3,0,0.05
"23",1992,1,3,3.9,0.05
"24",1992,2,3,0.18,0.05
"25",1993,1,3,0,0.05
"26",1993,2,3,0,0.05
"27",1994,1,3,0,0.05
"28",1994,2,3,0,0.05
"29",1995,1,3,22.68,0.05
"30",1995,2,3,0,0.05
"31",1996,1,3,0,0.05
"32",1996,2,3,43.55,0.05
"33",1997,1,3,27.22,0.05
"34",1997,2,3,0.82,0.05
"35",1998,1,3,488.25,0.05
"36",1998,2,3,74.39,0.05
"37",1999,1,3,725.2,0.05
"38",1999,2,3,429.59,0.05
"39",2000,1,3,15586.16,0.05
"40",2000,2,3,2336.9,0.05
"41",2001,1,3,22545.98,0.05
"42",2001,2,3,3136.84,0.05
"43",2002,1,3,35525.69,0.05
"44",2002,2,3,597.29,0.05
"45",2003,1,3,37242.26,0.05
"46",2003,2,3,2618.43,0.05
"47",2004,1,3,46730.8,0.05
"48",2004,2,3,1016.32,0.05
"49",2005,1,3,54152.62,0.05
"50",2005,2,3,101.7,0.05
"51",2006,1,3,41220.9,0.05
"52",2006,2,3,0,0.05
"53",2007,1,3,48237.1,0.05
"54",2007,2,3,0,0.05
"55",2008,1,3,39800.1,0.05
"56",2008,2,3,0,0.05
"57",2009,1,3,44841.15,0.05
"58",2009,2,3,1369.73,0.05
"59",2010,1,3,54085.91,0.05
"60",2010,2,3,0.09,0.05
"61",2011,1,3,39750.5,0.05
"62",2011,2,3,5805.63,0.05
"63",2012,1,3,91425.63,0.05
"64",2012,2,3,1570.78,0.05
"65",2013,1,3,57217.96,0.05
"66",2013,2,3,908.01,0.05
"67",2014,1,3,15216.82,0.05
"68",2014,2,3,2193.87,0.05
"69",2015,1,3,66.28,0.05
"70",2015,2,3,1.4,0.05
"71",2016,1,3,87.9,0.05
"72",2016,2,3,0.1,0.05
"73",2017,1,3,1.2,0.05
