YEAR,MONTH,COUNTRY,REGION,SUB_REGION,PORT_AREA,FISHERY,MT,FAO_CODE,SUB_POP
1981,7,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1981,8,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1981,9,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1981,10,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1981,11,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1981,12,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1981,7,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1981,8,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1981,9,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1981,10,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1981,11,USA,CA,CCA,Monterey,INC,0.002,CHP,NSP
1981,12,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1981,7,USA,CA,SCA,So. California,INC,0.686,CHP,SSP
1981,7,USA,CA,SCA,So. California,LIV,0.972,CHP,SSP
1981,8,USA,CA,SCA,So. California,INC,1.075,CHP,SSP
1981,8,USA,CA,SCA,So. California,LIV,1.187,CHP,SSP
1981,9,USA,CA,SCA,So. California,INC,2.494,CHP,SSP
1981,9,USA,CA,SCA,So. California,LIV,0.905,CHP,SSP
1981,10,USA,CA,SCA,So. California,INC,0.534,CHP,SSP
1981,10,USA,CA,SCA,So. California,LIV,0.513,CHP,SSP
1981,11,USA,CA,SCA,So. California,INC,0.991,CHP,SSP
1981,11,USA,CA,SCA,So. California,LIV,0.244,CHP,SSP
1981,12,USA,CA,SCA,So. California,INC,0,CHP,SSP
1981,12,USA,CA,SCA,So. California,LIV,0.161,CHP,SSP
1982,1,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,NSP
1982,2,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,NSP
1982,3,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,NSP
1982,4,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,NSP
1982,5,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,NSP
1982,6,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,NSP
1982,7,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1982,8,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1982,9,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1982,10,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1982,11,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1982,12,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1982,1,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,2,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,3,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,4,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,5,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,6,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,7,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,8,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,9,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,10,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,11,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,12,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1982,1,USA,CA,SCA,So. California,INC,0.454,CHP,NSP
1982,1,USA,CA,SCA,So. California,LIV,1.163,CHP,NSP
1982,2,USA,CA,SCA,So. California,INC,1.905,CHP,NSP
1982,2,USA,CA,SCA,So. California,LIV,0.994,CHP,NSP
1982,3,USA,CA,SCA,So. California,INC,11.703,CHP,NSP
1982,3,USA,CA,SCA,So. California,LIV,1.394,CHP,NSP
1982,4,USA,CA,SCA,So. California,INC,18.507,CHP,NSP
1982,4,USA,CA,SCA,So. California,LIV,1.82,CHP,NSP
1982,5,USA,CA,SCA,So. California,INC,11.249,CHP,NSP
1982,5,USA,CA,SCA,So. California,LIV,3.044,CHP,NSP
1982,6,USA,CA,SCA,So. California,INC,13.336,CHP,NSP
1982,6,USA,CA,SCA,So. California,LIV,4.366,CHP,NSP
1982,7,USA,CA,SCA,So. California,INC,19.686,CHP,SSP
1982,7,USA,CA,SCA,So. California,LIV,6.157,CHP,SSP
1982,8,USA,CA,SCA,So. California,INC,10.433,CHP,SSP
1982,8,USA,CA,SCA,So. California,LIV,7.518,CHP,SSP
1982,9,USA,CA,SCA,So. California,INC,12.066,CHP,SSP
1982,9,USA,CA,SCA,So. California,LIV,5.732,CHP,SSP
1982,10,USA,CA,SCA,So. California,INC,10.433,CHP,SSP
1982,10,USA,CA,SCA,So. California,LIV,3.247,CHP,SSP
1982,11,USA,CA,SCA,So. California,INC,20.593,CHP,SSP
1982,11,USA,CA,SCA,So. California,LIV,1.548,CHP,SSP
1982,12,USA,CA,SCA,So. California,INC,0.726,CHP,NSP
1982,12,USA,CA,SCA,So. California,LIV,1.017,CHP,NSP
1983,1,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1983,2,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1983,3,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,NSP
1983,4,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1983,5,MÉXICO,BCN,ENS,Ensenada,DIR,75,CHP,NSP
1983,6,MÉXICO,BCN,ENS,Ensenada,DIR,74.5,CHP,SSP
1983,7,MÉXICO,BCN,ENS,Ensenada,DIR,29.8,CHP,SSP
1983,8,MÉXICO,BCN,ENS,Ensenada,DIR,94.3,CHP,SSP
1983,9,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1983,10,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1983,11,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1983,12,MÉXICO,BCN,ENS,Ensenada,DIR,0,CHP,SSP
1983,1,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,2,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,3,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,4,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,5,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,6,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,7,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,8,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,9,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,10,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,11,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,12,USA,CA,CCA,Monterey,INC,0,CHP,NSP
1983,1,USA,CA,SCA,So. California,INC,28.939,CHP,NSP
1983,1,USA,CA,SCA,So. California,LIV,5.909,CHP,NSP
1983,2,USA,CA,SCA,So. California,INC,9.435,CHP,NSP
1983,2,USA,CA,SCA,So. California,LIV,5.047,CHP,NSP
1983,3,USA,CA,SCA,So. California,INC,1.361,CHP,NSP
1983,3,USA,CA,SCA,So. California,LIV,7.079,CHP,NSP
1983,4,USA,CA,SCA,So. California,INC,107.955,CHP,NSP
1983,4,USA,CA,SCA,So. California,LIV,9.244,CHP,NSP
1983,5,USA,CA,SCA,So. California,INC,92.986,CHP,NSP
1983,5,USA,CA,SCA,So. California,LIV,15.458,CHP,NSP
1983,6,USA,CA,SCA,So. California,INC,22.589,CHP,SSP
1983,6,USA,CA,SCA,So. California,LIV,22.174,CHP,SSP
1983,7,USA,CA,SCA,So. California,INC,0,CHP,SSP
1983,7,USA,CA,SCA,So. California,LIV,31.272,CHP,SSP
1983,8,USA,CA,SCA,So. California,INC,19.051,CHP,SSP
1983,8,USA,CA,SCA,So. California,LIV,38.182,CHP,SSP
1983,9,USA,CA,SCA,So. California,INC,29.211,CHP,SSP
1983,9,USA,CA,SCA,So. California,LIV,29.113,CHP,SSP
1983,10,USA,CA,SCA,So. California,INC,0.816,CHP,SSP
1983,10,USA,CA,SCA,So. California,LIV,16.492,CHP,SSP
