"","temp2","month","year","south.stock","north.stock"
"1",0,1,1982,0,1
"2",0,2,1982,0,1
"3",0,3,1982,0,1
"4",0.254799301919721,4,1982,0,1
"5",0.446616118790091,5,1982,0,1
"6",0.385080080133634,6,1982,0,1
"7",0.947645384013097,7,1982,1,0
"8",0.99066125702897,8,1982,1,0
"9",1,9,1982,1,0
"10",0.977168949771689,10,1982,1,0
"11",0.965390386756377,11,1982,1,0
"12",0.720185350381603,12,1982,1,0
"13",0.714161469523355,1,1983,1,0
"14",0.613884541818814,2,1983,1,0
"15",0.317333333333333,3,1983,0,1
"16",0.742827493452254,4,1983,1,0
"17",0.365814151747655,5,1983,0,1
"18",0.543981481481481,6,1983,1,0
"19",0.965208678828081,7,1983,1,0
"20",0.976782752902156,8,1983,1,0
"21",0.99342529464616,9,1983,1,0
"22",0.992258161126085,10,1983,1,0
"23",0.946727549467275,11,1983,1,0
"24",0.776266691837807,12,1983,1,0
"25",0.208168642951251,1,1984,0,1
"26",0.00597371565113471,2,1984,0,1
"27",0.459409073534125,3,1984,0,1
"28",0.675374700648824,4,1984,1,0
"29",0.827516763157486,5,1984,1,0
"30",0.963991276039168,6,1984,1,0
"31",0.974358974358974,7,1984,1,0
"32",0.986607142857143,8,1984,1,0
"33",1,9,1984,1,0
"34",0.994949494949495,10,1984,1,0
"35",0.785054928850549,11,1984,1,0
"36",0.167883211678832,12,1984,0,1
"37",-2.59052039079203e-16,1,1985,0,1
"38",-2.59052039079203e-16,2,1985,0,1
"39",-2.59052039079203e-16,3,1985,0,1
"40",0.0564613090944065,4,1985,0,1
"41",0.344539418602387,5,1985,0,1
"42",0.888517279821627,6,1985,1,0
"43",1,7,1985,1,0
"44",1,8,1985,1,0
"45",1,9,1985,1,0
"46",1,10,1985,1,0
"47",0.605765248006627,11,1985,1,0
"48",0.032567049808429,12,1985,0,1
"49",0.0163398692810456,1,1986,0,1
"50",0.0215078279373764,2,1986,0,1
"51",0.0935990426728677,3,1986,0,1
"52",0.319478076976442,4,1986,0,1
"53",0.680514869216727,5,1986,1,0
"54",0.867554632993138,6,1986,1,0
"55",1,7,1986,1,0
"56",1,8,1986,1,0
"57",1,9,1986,1,0
"58",1,10,1986,1,0
"59",0.998862343572241,11,1986,1,0
"60",0.929912571882743,12,1986,1,0
"61",0.293811074918567,1,1987,0,1
"62",-6.01370805005293e-17,2,1987,0,1
"63",-6.01370805005293e-17,3,1987,0,1
"64",0.533006804888193,4,1987,1,0
"65",0.734368832040276,5,1987,1,0
"66",0.772264568212319,6,1987,1,0
"67",0.930145656981621,7,1987,1,0
"68",1,8,1987,1,0
"69",1,9,1987,1,0
"70",1,10,1987,1,0
"71",0.998907103825137,11,1987,1,0
"72",0.361377966295999,12,1987,0,1
"73",3.23815048849004e-17,1,1988,0,1
"74",3.23815048849004e-17,2,1988,0,1
"75",0.330979610189041,3,1988,0,1
"76",0.682603311076892,4,1988,1,0
"77",0.303416450213485,5,1988,0,1
"78",0.603920680588499,6,1988,1,0
"79",0.99502487562189,7,1988,1,0
"80",1,8,1988,1,0
"81",1,9,1988,1,0
"82",0.996509598603839,10,1988,1,0
"83",0.630966597891751,11,1988,1,0
"84",0.111394963868462,12,1988,0,1
"85",1.85037170770859e-17,1,1989,0,1
"86",1.85037170770859e-17,2,1989,0,1
"87",0.042962962962963,3,1989,0,1
"88",0.344078815793341,4,1989,0,1
"89",0.659068603729249,5,1989,1,0
"90",0.882763803862552,6,1989,1,0
"91",0.972636815920398,7,1989,1,0
"92",1,8,1989,1,0
"93",1,9,1989,1,0
"94",1,10,1989,1,0
"95",0.946011724460117,11,1989,1,0
"96",0.535040243550767,12,1989,1,0
"97",0.119782210664042,1,1990,0,1
"98",0.00657894736842113,2,1990,0,1
"99",7.63278329429795e-17,3,1990,0,1
"100",0.551984126984127,4,1990,1,0
"101",0.993662319699664,5,1990,1,0
"102",0.980685284914119,6,1990,1,0
"103",1,7,1990,1,0
"104",1,8,1990,1,0
"105",1,9,1990,1,0
"106",1,10,1990,1,0
"107",0.998888888888889,11,1990,1,0
"108",0.698588588588589,12,1990,1,0
"109",0.0418923907296003,1,1991,0,1
"110",0.0464743589743592,2,1991,0,1
"111",2.40548322002117e-16,3,1991,0,1
"112",2.40548322002117e-16,4,1991,0,1
"113",0.0642783882783885,5,1991,0,1
"114",0.694289317240137,6,1991,1,0
"115",0.972677595628416,7,1991,1,0
"116",1,8,1991,1,0
"117",1,9,1991,1,0
"118",0.998877665544332,10,1991,1,0
"119",0.904268204598238,11,1991,1,0
"120",0.407040704070407,12,1991,0,1
"121",0.112204007285975,1,1992,0,1
"122",0.717672269807956,2,1992,1,0
"123",0.66188204762688,3,1992,1,0
"124",0.996212121212121,4,1992,1,0
"125",1,5,1992,1,0
"126",0.976470588235294,6,1992,1,0
"127",0.976470588235294,7,1992,1,0
"128",1,8,1992,1,0
"129",1,9,1992,1,0
"130",1,10,1992,1,0
"131",1,11,1992,1,0
"132",0.632786885245902,12,1992,1,0
"133",0.0405405405405405,1,1993,0,1
"134",0.041682093051956,2,1993,0,1
"135",0.359912684518792,3,1993,0,1
"136",0.661655182871269,4,1993,1,0
"137",0.748965355627854,5,1993,1,0
"138",0.889842632331903,6,1993,1,0
"139",1,7,1993,1,0
"140",1,8,1993,1,0
"141",1,9,1993,1,0
"142",1,10,1993,1,0
"143",0.995599559955996,11,1993,1,0
"144",0.649913285446192,12,1993,1,0
"145",0.231662987490802,1,1994,0,1
"146",0.0144150110375275,2,1994,0,1
"147",0.419749670619236,3,1994,0,1
"148",0.293109585558098,4,1994,0,1
"149",0.406002898985355,5,1994,0,1
"150",0.84223073648361,6,1994,1,0
"151",1,7,1994,1,0
"152",1,8,1994,1,0
"153",1,9,1994,1,0
"154",0.921017402945114,10,1994,1,0
"155",0.48694332887104,11,1994,0,1
"156",-1.85037170770859e-16,12,1994,0,1
"157",-1.85037170770859e-16,1,1995,0,1
"158",0.0298507462686565,2,1995,0,1
"159",0.432088520055325,3,1995,0,1
"160",0.133333333333333,4,1995,0,1
"161",0.533333333333333,5,1995,1,0
"162",0.86984126984127,6,1995,1,0
"163",1,7,1995,1,0
"164",1,8,1995,1,0
"165",1,9,1995,1,0
"166",1,10,1995,1,0
"167",1,11,1995,1,0
"168",0.747995418098511,12,1995,1,0
"169",0.119742629994422,1,1996,0,1
"170",0.0114629759949957,2,1996,0,1
"171",0.0103649929421254,3,1996,0,1
"172",0.577205882352941,4,1996,1,0
"173",1,5,1996,1,0
"174",1,6,1996,1,0
"175",1,7,1996,1,0
"176",1,8,1996,1,0
"177",1,9,1996,1,0
"178",0.984234234234234,10,1996,1,0
"179",0.901000220112848,11,1996,1,0
"180",0.347985550353541,12,1996,0,1
"181",0.0251102167635734,1,1997,0,1
"182",0.00801832760595652,2,1997,0,1
"183",0.0396393947630697,3,1997,0,1
"184",0.628937728937729,4,1997,1,0
"185",0.946969696969697,5,1997,1,0
"186",1,6,1997,1,0
"187",1,7,1997,1,0
"188",1,8,1997,1,0
"189",1,9,1997,1,0
"190",1,10,1997,1,0
"191",1,11,1997,1,0
"192",1,12,1997,1,0
"193",1,1,1998,1,0
"194",0.742527403544353,2,1998,1,0
"195",0.289841432602154,3,1998,0,1
"196",0.361134668237142,4,1998,0,1
"197",0.946421519373335,5,1998,1,0
"198",0.93400154041508,6,1998,1,0
"199",1,7,1998,1,0
"200",1,8,1998,1,0
"201",1,9,1998,1,0
"202",0.981609195402299,10,1998,1,0
"203",0.661631642091412,11,1998,1,0
"204",0.113355780022447,12,1998,0,1
"205",3.70074341541719e-17,1,1999,0,1
"206",3.70074341541719e-17,2,1999,0,1
"207",3.70074341541719e-17,3,1999,0,1
"208",0.00648508430609602,4,1999,0,1
"209",0.174411441144114,5,1999,0,1
"210",0.664617604617605,6,1999,1,0
"211",1,7,1999,1,0
"212",1,8,1999,1,0
"213",1,9,1999,1,0
"214",1,10,1999,1,0
"215",0.818477228415738,11,1999,1,0
"216",0.21666116520878,12,1999,0,1
"217",1.38777878078145e-17,1,2000,0,1
"218",1.38777878078145e-17,2,2000,0,1
"219",1.38777878078145e-17,3,2000,0,1
"220",0.446547067901234,4,2000,0,1
"221",0.845262223479135,5,2000,1,0
"222",0.990175852244818,6,2000,1,0
"223",1,7,2000,1,0
"224",1,8,2000,1,0
"225",1,9,2000,1,0
"226",0.994292237442922,10,2000,1,0
"227",0.735836512493647,11,2000,1,0
"228",0.369949004454995,12,2000,0,1
"229",0.175879396984925,1,2001,0,1
"230",3.70074341541719e-17,2,2001,0,1
"231",3.70074341541719e-17,3,2001,0,1
"232",0.109772423025435,4,2001,0,1
"233",0.712825858139939,5,2001,1,0
"234",1,6,2001,1,0
"235",1,7,2001,1,0
"236",1,8,2001,1,0
"237",1,9,2001,1,0
"238",0.998281786941581,10,2001,1,0
"239",0.905739408684917,11,2001,1,0
"240",0.330427248190406,12,2001,0,1
"241",0.0336021505376344,1,2002,0,1
"242",0,2,2002,0,1
"243",0,3,2002,0,1
"244",0,4,2002,0,1
"245",0.368373013585442,5,2002,0,1
"246",0.937751004016064,6,2002,1,0
"247",1,7,2002,1,0
"248",1,8,2002,1,0
"249",1,9,2002,1,0
"250",0.903225806451613,10,2002,1,0
