initYr,Rstructure,mTrends,compMethod,variable,resType,predHoriz,RMSE,nIndices,peels
1990,diag & unequal,4,individual,sardRec,resid.Naiv,5,0.742007446,33,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,3,0.799806752,33,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,4,0.840275746,33,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,1,0.890232966,33,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,3,0.913250997,33,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,4,0.92894598,33,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,4,0.929664449,33,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,1,0.939709257,33,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,4,0.940967551,33,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,1,0.941600726,33,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,1,0.951066578,33,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,2,0.95728056,33,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,3,0.982220426,33,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,3,0.98395449,33,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,2,1.042678966,33,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,2,1.104676293,33,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,2,1.107580187,33,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,5,1.40592548,33,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,5,1.538970045,33,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,5,1.538987555,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Naiv,5,0.742007446,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Naiv,3,0.799806752,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Cont,4,0.840275746,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Cont,1,0.890232966,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Cont,3,0.913250997,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Inf,4,0.92894598,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Proj,4,0.929664449,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Naiv,1,0.939709257,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Naiv,4,0.940967551,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Inf,1,0.941600726,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Proj,1,0.951066578,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Naiv,2,0.95728056,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Inf,3,0.982220426,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Proj,3,0.98395449,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Cont,2,1.042678966,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Inf,2,1.104676293,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Proj,2,1.107580187,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Cont,5,1.40592548,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Proj,5,1.538970045,33,10
1990,diag & unequal,4,peel & variable combined,total,resid.Inf,5,1.538987555,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Cont,1,0.890232966,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Cont,1,0.890232966,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Cont,2,1.042678966,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Cont,2,1.042678966,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Cont,3,0.913250997,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Cont,3,0.913250997,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Cont,4,0.840275746,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Cont,4,0.840275746,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Cont,5,1.40592548,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Cont,5,1.40592548,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Inf,1,0.941600726,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Inf,1,0.941600726,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Inf,2,1.104676293,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Inf,2,1.104676293,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Inf,3,0.982220426,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Inf,3,0.982220426,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Inf,4,0.92894598,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Inf,4,0.92894598,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Inf,5,1.538987555,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Inf,5,1.538987555,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Naiv,1,0.939709257,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Naiv,1,0.939709257,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Naiv,2,0.95728056,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Naiv,2,0.95728056,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Naiv,3,0.799806752,33,10
1990,diag & unequal,4,peel then variable,meanRMSE,resid.Naiv,3,0.799806752,33,10
1990,diag & unequal,4,peel then variable,totRMSE,resid.Naiv,4,0.940967551,33,10
