initYr,Rstructure,mTrends,compMethod,variable,resType,predHoriz,RMSE,nIndices,peels
1985,diag & unequal,5,individual,sardRec,resid.Naiv,1,0.6672896676436664,26,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,5,0.6687046666503711,26,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,5,0.6969631584040574,26,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,4,0.6976990521915498,26,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,2,0.7096914245872094,26,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,5,0.7108166777538415,26,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,5,0.7112104959145978,26,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,3,0.7258955692709447,26,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,1,0.9452600906531337,26,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,1,1.1148842794424292,26,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,1,1.1187305327232944,26,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,2,1.1297643087233031,26,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,2,1.3043643755986687,26,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,2,1.312935901596342,26,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,3,1.5092412297704507,26,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,3,1.6011098348065467,26,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,3,1.6034575673832157,26,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,4,2.81896774156007,26,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,4,2.8936738427202124,26,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,4,2.893812844594981,26,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,1,0.6672896676436664,26,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,5,0.6687046666503711,26,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,5,0.6969631584040574,26,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,4,0.6976990521915498,26,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,2,0.7096914245872094,26,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,5,0.7108166777538415,26,10
