initYr,Rstructure,mTrends,compMethod,variable,resType,predHoriz,RMSE,nIndices,peels
1985,diag & unequal,5,individual,sardRec,resid.Naiv,5,0.7043332003197308,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,4,0.9648827233430611,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,1,0.9897257917510822,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,3,1.000092892022104,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,5,1.0323894651578984,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,2,1.03969002856474,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,5,1.197888235274831,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,5,1.1981866018986862,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,1,1.2206256420637949,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,2,1.2522333142706783,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,3,1.2811069545183014,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,1,1.2956880262356043,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,1,1.3037236358282671,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,2,1.3550694826816831,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,2,1.356945772083405,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,3,1.4431583829162493,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,3,1.4437838355376338,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,4,1.520801929206981,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,4,1.6155585962339212,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,4,1.615613513892237,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,5,0.7043332003197308,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,4,0.9648827233430611,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,1,0.9897257917510822,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,3,1.000092892022104,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,5,1.0323894651578984,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,2,1.03969002856474,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,5,1.197888235274831,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,5,1.1981866018986862,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,1,1.2206256420637949,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,2,1.2522333142706783,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,3,1.2811069545183014,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,1,1.2956880262356043,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,1,1.3037236358282671,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,2,1.3550694826816831,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,2,1.356945772083405,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,3,1.4431583829162493,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,3,1.4437838355376338,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,4,1.520801929206981,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,4,1.6155585962339212,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,4,1.615613513892237,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Cont,1,1.2206256420637949,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Cont,1,1.2206256420637949,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Cont,2,1.2522333142706783,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Cont,2,1.2522333142706783,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Cont,3,1.2811069545183014,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Cont,3,1.2811069545183014,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Cont,4,1.520801929206981,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Cont,4,1.520801929206981,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Cont,5,1.0323894651578984,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Cont,5,1.0323894651578984,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Inf,1,1.2956880262356043,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Inf,1,1.2956880262356043,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Inf,2,1.3550694826816831,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Inf,2,1.3550694826816831,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Inf,3,1.4437838355376338,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Inf,3,1.4437838355376338,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Inf,4,1.615613513892237,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Inf,4,1.615613513892237,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Inf,5,1.1981866018986862,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Inf,5,1.1981866018986862,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Naiv,1,0.9897257917510822,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Naiv,1,0.9897257917510822,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Naiv,2,1.03969002856474,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Naiv,2,1.03969002856474,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Naiv,3,1.000092892022104,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Naiv,3,1.000092892022104,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Naiv,4,0.9648827233430611,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Naiv,4,0.9648827233430611,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Naiv,5,0.7043332003197308,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Naiv,5,0.7043332003197308,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Proj,1,1.3037236358282671,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Proj,1,1.3037236358282671,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Proj,2,1.356945772083405,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Proj,2,1.356945772083405,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Proj,3,1.4431583829162493,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Proj,3,1.4431583829162493,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Proj,4,1.6155585962339212,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Proj,4,1.6155585962339212,25,10
1985,diag & unequal,5,peel then variable,totRMSE,resid.Proj,5,1.197888235274831,25,10
1985,diag & unequal,5,peel then variable,meanRMSE,resid.Proj,5,1.197888235274831,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Cont,5,0.7292886835765503,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Naiv,5,0.8249157210008382,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Proj,5,0.8396871933835125,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Inf,5,0.8404717942224821,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Naiv,3,0.9181022497006077,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Naiv,1,0.9542323186181355,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Naiv,4,0.9651261531176767,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Naiv,2,0.9860984434160548,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Cont,3,1.0545957075529497,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Cont,1,1.1358175328647109,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Proj,3,1.195767091625891,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Inf,3,1.1981054316850082,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Inf,1,1.226702939507702,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Proj,1,1.2305761153554569,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Cont,2,1.2557413926787673,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Cont,4,1.3331567825180333,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Inf,2,1.382296855814219,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Proj,2,1.3845640608795302,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Proj,4,1.4379321470384292,25,10
1985,custom R by SDM,5,individual,sardRec,resid.Inf,4,1.4385561806641267,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Cont,5,0.7292886835765503,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Naiv,5,0.8249157210008382,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Proj,5,0.8396871933835125,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Inf,5,0.8404717942224821,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Naiv,3,0.9181022497006077,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Naiv,1,0.9542323186181355,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Naiv,4,0.9651261531176767,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Naiv,2,0.9860984434160548,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Cont,3,1.0545957075529497,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Cont,1,1.1358175328647109,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Proj,3,1.195767091625891,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Inf,3,1.1981054316850082,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Inf,1,1.226702939507702,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Proj,1,1.2305761153554569,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Cont,2,1.2557413926787673,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Cont,4,1.3331567825180333,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Inf,2,1.382296855814219,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Proj,2,1.3845640608795302,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Proj,4,1.4379321470384292,25,10
1985,custom R by SDM,5,peel & variable combined,total,resid.Inf,4,1.4385561806641267,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Cont,1,1.1358175328647109,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Cont,1,1.1358175328647109,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Cont,2,1.2557413926787673,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Cont,2,1.2557413926787673,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Cont,3,1.0545957075529497,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Cont,3,1.0545957075529497,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Cont,4,1.3331567825180333,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Cont,4,1.3331567825180333,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Cont,5,0.7292886835765503,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Cont,5,0.7292886835765503,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Inf,1,1.226702939507702,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Inf,1,1.226702939507702,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Inf,2,1.382296855814219,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Inf,2,1.382296855814219,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Inf,3,1.1981054316850082,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Inf,3,1.1981054316850082,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Inf,4,1.4385561806641267,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Inf,4,1.4385561806641267,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Inf,5,0.8404717942224821,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Inf,5,0.8404717942224821,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Naiv,1,0.9542323186181355,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Naiv,1,0.9542323186181355,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Naiv,2,0.9860984434160548,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Naiv,2,0.9860984434160548,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Naiv,3,0.9181022497006077,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Naiv,3,0.9181022497006077,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Naiv,4,0.9651261531176767,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Naiv,4,0.9651261531176767,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Naiv,5,0.8249157210008382,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Naiv,5,0.8249157210008382,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Proj,1,1.2305761153554569,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Proj,1,1.2305761153554569,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Proj,2,1.3845640608795302,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Proj,2,1.3845640608795302,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Proj,3,1.195767091625891,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Proj,3,1.195767091625891,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Proj,4,1.4379321470384292,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Proj,4,1.4379321470384292,25,10
1985,custom R by SDM,5,peel then variable,totRMSE,resid.Proj,5,0.8396871933835125,25,10
1985,custom R by SDM,5,peel then variable,meanRMSE,resid.Proj,5,0.8396871933835125,25,10
1985,diag & equal,5,individual,sardRec,resid.Cont,5,0.7103346965483432,25,10
1985,diag & equal,5,individual,sardRec,resid.Naiv,1,0.7595517015610136,25,10
1985,diag & equal,5,individual,sardRec,resid.Naiv,5,0.7912102221059034,25,10
1985,diag & equal,5,individual,sardRec,resid.Cont,1,0.7918680422538245,25,10
1985,diag & equal,5,individual,sardRec,resid.Naiv,3,0.8251662981482809,25,10
1985,diag & equal,5,individual,sardRec,resid.Naiv,4,0.825492953687705,25,10
1985,diag & equal,5,individual,sardRec,resid.Naiv,2,0.8387183676226945,25,10
1985,diag & equal,5,individual,sardRec,resid.Cont,2,0.9495721232182494,25,10
1985,diag & equal,5,individual,sardRec,resid.Proj,5,0.9527237531859434,25,10
1985,diag & equal,5,individual,sardRec,resid.Inf,5,0.9537254824265887,25,10
1985,diag & equal,5,individual,sardRec,resid.Inf,1,0.980775083542128,25,10
1985,diag & equal,5,individual,sardRec,resid.Proj,1,1.0010565240845672,25,10
1985,diag & equal,5,individual,sardRec,resid.Cont,3,1.0974517128653798,25,10
1985,diag & equal,5,individual,sardRec,resid.Cont,4,1.1283246879408524,25,10
1985,diag & equal,5,individual,sardRec,resid.Inf,2,1.233820024148681,25,10
1985,diag & equal,5,individual,sardRec,resid.Proj,2,1.2368809328137802,25,10
1985,diag & equal,5,individual,sardRec,resid.Proj,3,1.419093909969378,25,10
1985,diag & equal,5,individual,sardRec,resid.Inf,3,1.4196112919547117,25,10
1985,diag & equal,5,individual,sardRec,resid.Proj,4,1.4290522858844805,25,10
1985,diag & equal,5,individual,sardRec,resid.Inf,4,1.4294818798508155,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Cont,5,0.7103346965483432,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Naiv,1,0.7595517015610136,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Naiv,5,0.7912102221059034,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Cont,1,0.7918680422538245,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Naiv,3,0.8251662981482809,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Naiv,4,0.825492953687705,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Naiv,2,0.8387183676226945,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Cont,2,0.9495721232182494,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Proj,5,0.9527237531859434,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Inf,5,0.9537254824265887,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Inf,1,0.980775083542128,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Proj,1,1.0010565240845672,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Cont,3,1.0974517128653798,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Cont,4,1.1283246879408524,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Inf,2,1.233820024148681,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Proj,2,1.2368809328137802,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Proj,3,1.419093909969378,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Inf,3,1.4196112919547117,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Proj,4,1.4290522858844805,25,10
1985,diag & equal,5,peel & variable combined,total,resid.Inf,4,1.4294818798508155,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Cont,1,0.7918680422538245,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Cont,1,0.7918680422538245,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Cont,2,0.9495721232182494,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Cont,2,0.9495721232182494,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Cont,3,1.0974517128653798,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Cont,3,1.0974517128653798,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Cont,4,1.1283246879408524,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Cont,4,1.1283246879408524,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Cont,5,0.7103346965483432,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Cont,5,0.7103346965483432,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Inf,1,0.980775083542128,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Inf,1,0.980775083542128,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Inf,2,1.233820024148681,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Inf,2,1.233820024148681,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Inf,3,1.4196112919547117,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Inf,3,1.4196112919547117,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Inf,4,1.4294818798508155,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Inf,4,1.4294818798508155,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Inf,5,0.9537254824265887,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Inf,5,0.9537254824265887,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Naiv,1,0.7595517015610136,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Naiv,1,0.7595517015610136,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Naiv,2,0.8387183676226945,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Naiv,2,0.8387183676226945,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Naiv,3,0.8251662981482809,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Naiv,3,0.8251662981482809,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Naiv,4,0.825492953687705,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Naiv,4,0.825492953687705,25,10
1985,diag & equal,5,peel then variable,totRMSE,resid.Naiv,5,0.7912102221059034,25,10
1985,diag & equal,5,peel then variable,meanRMSE,resid.Naiv,5,0.7912102221059034,25,10
