initYr,Rstructure,mTrends,compMethod,variable,resType,predHoriz,RMSE,nIndices,peels
1990,diag & unequal,4,individual,sardRec,resid.Cont,5,0.6100721365485038,32,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,4,0.6433765674721494,32,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,4,0.6831109099675182,32,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,4,0.7271314092299054,32,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,4,0.7279117862421225,32,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,5,0.7365912027887432,32,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,5,0.7366497821730948,32,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,3,0.7816995701648198,32,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,5,0.7991232678383585,32,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,3,0.8208819517287844,32,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,3,0.8901480381805386,32,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,3,0.8918085853581009,32,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,1,0.898486729503891,32,10
1990,diag & unequal,4,individual,sardRec,resid.Naiv,2,0.922592557929973,32,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,1,0.9955892573036421,32,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,1,1.0488105948635895,32,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,1,1.0580148834461711,32,10
1990,diag & unequal,4,individual,sardRec,resid.Cont,2,1.0911299636403708,32,10
1990,diag & unequal,4,individual,sardRec,resid.Inf,2,1.1542628022598307,32,10
1990,diag & unequal,4,individual,sardRec,resid.Proj,2,1.1579588014325273,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Cont,5,0.6100721365485038,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Cont,4,0.6433765674721494,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Naiv,4,0.6831109099675182,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Inf,4,0.7271314092299054,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Proj,4,0.7279117862421225,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Proj,5,0.7365912027887432,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Inf,5,0.7366497821730948,32,10
1990,diag & unequal,4,peel & variable combined,total,resid.Naiv,3,0.7816995701648198,32,10
