initYr,Rstructure,mTrends,compMethod,variable,resType,predHoriz,RMSE,nIndices,peels
1985,diag & unequal,5,individual,sardRec,resid.Naiv,1,0.7502080365844473,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,2,0.8281055923640713,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,3,0.8395218253556641,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,5,0.9191012704025618,25,10
1985,diag & unequal,5,individual,sardRec,resid.Naiv,4,0.9250811701652512,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,1,0.9528076865597997,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,5,1.0430697510618956,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,5,1.0947079427250876,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,5,1.0950714677834164,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,1,1.102980847696658,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,1,1.1047289520548138,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,2,1.1425812059596059,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,2,1.427073831746627,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,2,1.4279809746402066,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,4,1.5157113902466524,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,4,1.704900347103232,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,4,1.7053711420556834,25,10
1985,diag & unequal,5,individual,sardRec,resid.Cont,3,3.2898038447820235,25,10
1985,diag & unequal,5,individual,sardRec,resid.Proj,3,3.7890788506291333,25,10
1985,diag & unequal,5,individual,sardRec,resid.Inf,3,3.7897432197865144,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,1,0.7502080365844473,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,2,0.8281055923640713,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,3,0.8395218253556641,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,5,0.9191012704025618,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Naiv,4,0.9250811701652512,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,1,0.9528076865597997,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,5,1.0430697510618956,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,5,1.0947079427250876,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,5,1.0950714677834164,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,1,1.102980847696658,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,1,1.1047289520548138,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,2,1.1425812059596059,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,2,1.427073831746627,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,2,1.4279809746402066,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,4,1.5157113902466524,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,4,1.704900347103232,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Inf,4,1.7053711420556834,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Cont,3,3.2898038447820235,25,10
1985,diag & unequal,5,peel & variable combined,total,resid.Proj,3,3.7890788506291333,25,10
