ParName   Value   Gradient
MGparm[2]      10.1021 -0.000161893
MGparm[3]      23.3143 -0.000388549
MGparm[4]     0.649017 -7.12033e-005
MGparm[5]     0.174458 -2.81248e-005
MGparm[6]    0.0383257 -1.64156e-005
SR_parm[1]      16.2201 -0.000737742
SR_parm[6]     -4.67232  0.000260518
recdev_early(1977)  -0.00830166 -1.23912e-006
recdev_early(1978)     0.162055 3.89589e-006
recdev_early(1979)    -0.986292 1.69015e-005
recdev_early(1980)    -0.412758  3.8724e-005
recdev_early(1981)     0.773009 2.73153e-005
recdev_early(1982)      1.05828 2.62082e-005
recdev1(1983)     0.655857 5.50282e-005
recdev1(1984)    -0.241577 3.62923e-005
recdev1(1985)      0.39584  5.4235e-005
recdev1(1986)     0.892282 4.06193e-005
recdev1(1987)     0.483064 3.89876e-005
recdev1(1988)     -0.26075 6.68293e-005
recdev1(1989)    -0.249385 3.80414e-005
recdev1(1990)     0.884675 -3.4954e-005
recdev1(1991)     0.747995 4.22436e-006
recdev1(1992)      1.56427 -8.41156e-006
recdev1(1993)      2.08081 -1.80493e-005
recdev1(1994)      1.16806 -1.11137e-006
recdev1(1995)     0.814901 -7.89937e-006
recdev1(1996)      1.16528 -9.61497e-006
recdev1(1997)      1.16127 -0.000113482
recdev1(1998)     -0.41024 -9.07887e-006
recdev1(1999)    -0.592686 7.56714e-008
recdev1(2000)   -0.0954484 -2.27881e-005
recdev1(2001)     -1.48092 1.18191e-005
recdev1(2002)      1.75614 -3.95038e-005
recdev1(2003)      1.64066 -2.67122e-005
recdev1(2004)      1.59907 -2.83993e-005
recdev1(2005)     0.471558 5.60076e-005
recdev1(2006)     0.124622 -2.16261e-005
recdev1(2007)     -0.64727 -6.52469e-006
recdev1(2008)  -0.00905613 -4.10052e-005
recdev1(2009)     0.150978 -7.55349e-005
recdev1(2010)     -2.26573 1.05672e-005
recdev1(2011)     -3.78786 1.31876e-005
recdev1(2012)     -2.95527 1.55122e-005
recdev1(2013)     -1.31067 1.07297e-005
recdev1(2014)    -0.377372 -2.55502e-006
recdev1(2015)     -1.07017 1.42173e-005
recdev1(2016)     -0.74396 1.22597e-005
recdev1(2017)     -1.28117 1.44492e-005
recdev1(2018)    0.0222021 2.07383e-005
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
init_F[1]      8.60922 -1.25143e-006
selparm[1]       14.104 -0.000101869
selparm[2]      2.44466  1.2169e-005
selparm[3]     0.499993  -2.204e-009
selparm[4]     0.500322 2.82828e-008
selparm[5]      9.44344 6.06987e-007
selparm[6]       1.6991 2.06725e-006
selparm[7]     0.754269 1.64945e-006
selparm[8]     0.429481 1.85664e-005
selparm[9]    -0.870899 4.02517e-006
selparm[10]     -1.59304 1.90313e-006
